,Uncet
26/06/1928,5.113164928
27/06/1928,5.09599544
28/06/1928,5.078003443
29/06/1928,5.07086798
30/06/1928,5.061661413
02/07/1928,5.05659555
03/07/1928,5.046394239
05/07/1928,5.03263619
06/07/1928,5.021870876
07/07/1928,5.009681695
09/07/1928,4.991643079
10/07/1928,4.977342993
11/07/1928,4.967843352
12/07/1928,4.956315976
13/07/1928,4.953519069
14/07/1928,4.944787862
16/07/1928,4.934955284
17/07/1928,4.932415972
18/07/1928,4.926261759
19/07/1928,4.915168164
20/07/1928,4.905617596
21/07/1928,4.898916436
23/07/1928,4.886372849
24/07/1928,4.882056114
25/07/1928,4.875658968
26/07/1928,4.870987169
27/07/1928,4.863364489
28/07/1928,4.859795291
30/07/1928,4.853392549
31/07/1928,4.843212451
01/08/1928,4.830901626
02/08/1928,4.830079092
03/08/1928,4.827538078
04/08/1928,4.824705505
06/08/1928,4.815318353
07/08/1928,4.805846487
08/08/1928,4.798022919
09/08/1928,4.794746997
10/08/1928,4.79165177
11/08/1928,4.790652716
13/08/1928,4.785162261
14/08/1928,4.784143605
15/08/1928,4.781137454
16/08/1928,4.78554451
17/08/1928,4.783369138
18/08/1928,4.784608675
20/08/1928,4.786363088
21/08/1928,4.787824057
22/08/1928,4.791846818
23/08/1928,4.791984973
24/08/1928,4.791774137
25/08/1928,4.794424205
27/08/1928,4.801759416
28/08/1928,4.808763759
29/08/1928,4.815699966
30/08/1928,4.819159208
31/08/1928,4.819325919
01/09/1928,4.822463835
04/09/1928,4.831824059
05/09/1928,4.83384765
06/09/1928,4.833930853
07/09/1928,4.844567132
08/09/1928,4.852930379
10/09/1928,4.854899502
11/09/1928,4.864990137
12/09/1928,4.873153069
13/09/1928,4.87952463
14/09/1928,4.889878446
15/09/1928,4.894236768
17/09/1928,4.900804761
18/09/1928,4.90963067
19/09/1928,4.921595685
20/09/1928,4.924110705
21/09/1928,4.930662962
22/09/1928,4.93917794
24/09/1928,4.952906178
25/09/1928,4.9603236
26/09/1928,4.968837229
27/09/1928,4.9764307
28/09/1928,4.982897218
29/09/1928,4.988571231
01/10/1928,4.996432699
02/10/1928,5.01111727
03/10/1928,5.020041435
04/10/1928,5.032760004
05/10/1928,5.03725052
06/10/1928,5.045655407
08/10/1928,5.054803645
09/10/1928,5.066532339
10/10/1928,5.077292997
11/10/1928,5.082541115
13/10/1928,5.084681915
15/10/1928,5.091275478
16/10/1928,5.097294615
17/10/1928,5.10568538
18/10/1928,5.113061358
19/10/1928,5.117801287
20/10/1928,5.126281953
22/10/1928,5.133122007
23/10/1928,5.143370556
24/10/1928,5.158953982
25/10/1928,5.171562567
26/10/1928,5.186002744
27/10/1928,5.206027375
29/10/1928,5.221089764
30/10/1928,5.232946187
31/10/1928,5.245092366
01/11/1928,5.255619822
02/11/1928,5.261850065
03/11/1928,5.268537449
05/11/1928,5.271309912
07/11/1928,5.276467354
08/11/1928,5.288645498
09/11/1928,5.29282726
10/11/1928,5.296916395
12/11/1928,5.302414899
13/11/1928,5.314209349
14/11/1928,5.32815723
15/11/1928,5.340165184
16/11/1928,5.351326217
17/11/1928,5.362110996
19/11/1928,5.366041061
20/11/1928,5.36170355
21/11/1928,5.36698209
22/11/1928,5.368290269
23/11/1928,5.383656413
26/11/1928,5.390900969
27/11/1928,5.391737547
28/11/1928,5.402445889
30/11/1928,5.40610402
01/12/1928,5.412047482
03/12/1928,5.414540971
04/12/1928,5.417068273
05/12/1928,5.41510566
06/12/1928,5.401037386
07/12/1928,5.389734848
08/12/1928,5.384114326
10/12/1928,5.384497562
11/12/1928,5.381786558
12/12/1928,5.385666443
13/12/1928,5.392347753
14/12/1928,5.392269586
15/12/1928,5.39211288
17/12/1928,5.384303696
18/12/1928,5.382811055
19/12/1928,5.374798486
20/12/1928,5.367488856
21/12/1928,5.360539396
22/12/1928,5.357180504
24/12/1928,5.350021808
26/12/1928,5.343079589
27/12/1928,5.334831582
28/12/1928,5.334565677
29/12/1928,5.330108901
31/12/1928,5.324895652
02/01/1929,5.315670896
03/01/1929,5.316149557
04/01/1929,5.309687979
05/01/1929,5.308913274
